altitude [ft],propeller rpm [1/min],MAP [inHg],power rate [-],fuel flow [l/h]
0,2250.0,29.5,0.97,27.1
0,2250.0,28.0,0.83,23.2
0,2250.0,26.0,0.65,18.2
0,2250.0,24.0,0.56,15.7
0,2250.0,22.0,0.43,12.1
0,2250.0,20.0,0.37,10.4
0,2100.0,28.0,0.80,22.2
0,2100.0,26.0,0.63,17.5
0,2100.0,24.0,0.54,15.1
0,2100.0,22.0,0.41,11.5
0,2100.0,20.0,0.35,9.70
0,1900.0,26.0,0.58,16.2
0,1900.0,24.0,0.50,14.1
0,1900.0,22.0,0.39,10.8
0,1900.0,20.0,0.33,9.10
3000.,2388.0,26.4,0.87,24.3
3000.,2250.0,26.4,0.85,23.6
3000.,2250.0,26.0,0.81,22.6
3000.,2250.0,24.0,0.68,18.9
3000.,2250.0,22.0,0.54,15.1
3000.,2250.0,20.0,0.45,12.7
3000.,2100.0,26.4,0.81,22.6
3000.,2100.0,26.0,0.77,21.6
3000.,2100.0,24.0,0.65,18.1
3000.,2100.0,22.0,0.51,14.3
3000.,2100.0,20.0,0.43,11.9
3000.,1900.0,26.4,0.74,20.7
3000.,1900.0,26.0,0.71,19.8
3000.,1900.0,24.0,0.60,16.7
3000.,1900.0,22.0,0.48,13.3
3000.,1900.0,20.0,0.40,11.1
6000.,2388.0,23.6,0.79,22.0
6000.,2250.0,23.6,0.76,21.4
6000.,2250.0,22.0,0.65,18.1
6000.,2250.0,20.0,0.54,14.9
6000.,2250.0,18.0,0.44,12.2
6000.,2100.0,23.6,0.73,20.4
6000.,2100.0,22.0,0.62,17.2
6000.,2100.0,20.0,0.51,14.1
6000.,2100.0,18.0,0.42,11.7
6000.,1900.0,23.6,0.67,18.7
6000.,1900.0,22.0,0.57,15.8
6000.,1900.0,20.0,0.47,13.1
6000.,1900.0,18.0,0.39,10.9
9000.,2388.0,21.1,0.71,19.7
9000.,2250.0,21.1,0.69,19.2
9000.,2250.0,20.0,0.62,17.2
9000.,2250.0,18.0,0.50,14.0
9000.,2100.0,21.1,0.65,18.3
9000.,2100.0,20.0,0.59,16.4
9000.,2100.0,18.0,0.48,13.4
9000.,1900.0,21.1,0.60,16.8
9000.,1900.0,20.0,0.54,15.1
9000.,1900.0,18.0,0.44,12.4
12000.,2388.0,18.8,0.63,17.7
12000.,2250.0,18.8,0.61,17.2
12000.,2250.0,18.0,0.57,15.9
12000.,2100.0,18.8,0.59,16.4
12000.,2100.0,18.0,0.54,15.2
12000.,1900.0,18.8,0.54,15.0
12000.,1900.0,18.0,0.50,13.9