Design Power (kW),Design T41t (degK),Design OPR (-),Limit OPR (-),Limit ITT (degK),Cst term OPR,s OPR,s * M OPR,s2 OPR,M2 OPR,M OPR,Cst term ITT,s ITT,s * M ITT,s2 ITT,M2 ITT,M ITT
864.0624890034018,1150.595902197132,7.0,8.589497695094826,1050.274045063933,74.29058,832.64847,1710.05915,451.42556,1437.66823,-1153.57052,341.857,1753.96944,694.31852,-651.16143,739.254,-449.7892
1057.5694051644723,988.2925364421296,7.579224845116404,8.375651299408867,958.15,201.23005,478.98449,2732.35965,731.84690,2212.28557,-1860.70769,682.17722,4562.26156,1558.00734,-1834.31503,1440.63943,-986.30168
1249.0093993051778,1363.7709667008085,16.9885138820164,20.52706760210565,1273.15,77.23210,1086.40922,1953.12191,604.55500,1627.09361,-1317.63534,514.72306,4497.55971,963.31393,-1520.33548,872.76735,-608.76812
1282.6845688313829,1418.8376453027636,9.985780518407646,10.183496290496242,1273.15,136.71952,554.42511,1629.29855,594.80059,1314.89174,-1110.13228,405.26597,2153.47873,666.52984,-695.63843,742.30513,-432.38361
1280.2805178875196,1059.6398763644333,7.0,8.903415223132482,975.6424947602194,86.29067,1516.86627,3058.45751,739.91487,2577.21627,-2052.86901,623.39566,3183.23487,1273.90928,-1269.06084,1318.57442,-821.12720
2889.3604954871794,1324.606652001769,14.38618111171236,16.28911808036132,1273.15,145.90033,2273.73522,4181.11677,1187.96785,3522.17267,-2829.49267,1214.67622,10070.41901,2266.55196,-3390.58757,2082.84944,-1433.76556
1072.4027812854306,1084.2462715772235,8.745414344715561,9.448967611469218,1027.0939723301103,116.91521,602.59952,2095.96883,555.84081,1726.51349,-1424.96033,563.54142,3716.18907,1157.27453,-1420.32529,1103.60036,-735.04397
2006.813858824496,1075.0699281123752,11.011447389260338,11.649028958957793,1019.593903180762,316.06886,784.77324,4352.05345,1168.90809,3535.09634,-2971.11751,1087.73913,10730.72539,2798.01799,-4223.09068,2306.97912,-1751.62491
1943.9994281661848,1294.368140856564,19.51909447337729,22.5762517083207,1273.15,116.45523,1563.43134,3365.32542,952.66348,2806.84811,-2271.76035,âˆ’54.56808,14297.24576,2597.17162,-5007.00842,1485.33019,-1593.02078
988.7830406794158,1283.6111265265683,12.156555297004395,15.4204485223649,1273.15,92.93873,891.87994,1760.36145,580.72362,1443.97303,-1185.67892,412.97523,3509.72111,830.05511,-1170.47905,759.65099,-524.41026
