,propeller_1 rpm [1/min],propeller_1 shaft_power_in [kW],propeller_1 torque_in [N*m],motor_1 efficiency [-],motor_1 torque_out [N*m],motor_1 ac_current_rms_in [A],motor_1 ac_voltage_rms_in [V],inverter_1 modulation_index [-],inverter_1 efficiency [-],inverter_1 dc_current_in [A],inverter_1 diode_temperature [degK],inverter_1 IGBT_temperature [degK],dc_bus_1 dc_voltage [V],harness_1 dc_current [A],harness_1 cable_temperature [degK],dc_bus_2 dc_voltage [V],dc_dc_converter_1 efficiency [-],dc_dc_converter_1 duty_cycle [-],dc_dc_converter_1 dc_current_in [A],dc_dc_converter_1 dc_current_out [A],battery_pack_1 c_rate [1/h],battery_pack_1 state_of_charge [percent],battery_pack_1 open_circuit_voltage [V],battery_pack_1 internal_resistance [ohm],battery_pack_1 voltage_out [V]
0,2000.0,8.976361074794706,42.85896708093768,0.9965006409423148,42.85896708093768,156.36801777220242,57.606939192028065,0.08301591562020533,0.873790863730425,12.129870494075556,295.3325978314844,295.92462726814097,849.8828544490731,12.129870494075556,288.2849581805891,850.0,0.9777793748774256,0.5129757030220264,13.066565783034662,12.129870494075556,0.032783472309549325,100.0,4.036936698125965,0.00296477143,806.9985576168747
1,2000.0,247.08807974206928,1179.758678101042,0.9823194414370392,1179.758678101042,4304.269059864094,58.43857853775386,0.08492559611510136,0.8049248631841855,370.797709939707,537.1849791975737,720.2848472654972,842.7653455446481,370.797709939707,542.933962567551,850.0,0.9870589437026996,0.5168263150201179,401.82347048447383,370.797709939707,1.008158443212256,99.72680439742042,4.033480652675289,0.002986393869801481,794.6530977566671
2,2000.0,244.7706109160295,1168.693579527274,0.9824804733859172,1168.693579527274,4263.8988025229255,58.42900025253954,0.08488643289082783,0.8058453597148802,366.7311782456802,533.8556688076578,713.2743818625314,843.0159680743038,366.7311782456802,530.8637974989131,850.0,0.9871152712435985,0.5171346782258666,397.8850380201172,366.7311782456802,0.9982770792959691,99.33774180476735,4.028595727841326,0.0030168831222180978,793.6724044809645
3,2000.0,242.46199859487996,1157.6707676494598,0.9826409243693817,1157.6707676494598,4223.682825307359,58.41945964587351,0.08484879737266637,0.8067627836605645,362.69828619080437,530.5611173939868,706.3514065225056,843.252182779913,362.69828619080437,519.505058679365,850.0,0.9871711550724486,0.5174413374768692,393.9708153177409,362.69828619080437,0.9884564566696804,98.9468354594728,4.023731135405563,0.0030471594070211935,792.6982895196251
4,2000.0,240.16223928803166,1146.6902258012647,0.9828007937253785,1146.6902258012647,4183.621067411409,58.40995672172967,0.08481255983374439,0.8076771404389138,358.6981129067224,527.3009493495377,699.5150356332558,843.4752479276133,358.6981129067224,508.79548872197756,850.0,0.9872266045608131,0.5177463318021648,390.0800433671903,358.6981129067224,0.9786946710083506,98.55400626655886,4.018886327881894,0.0030772257490256053,791.7306078081347
5,2000.0,237.87132946432237,1135.7519371226315,0.9829600807876334,1135.7519371226315,4143.713467322308,58.400491484438255,0.08477760569596758,0.8085884350748701,354.72982839496024,524.0747940416366,692.7643929258732,843.6862759349668,354.72982839496024,498.6800442587398,850.0,0.987281627548872,0.5180497010347248,386.21205632098713,354.72982839496024,0.9689900517282383,98.15917230952071,4.014060754119188,0.0031070851314181727,790.7692124949698
6,2000.0,235.5892655516575,1124.855884558064,0.9831187848853574,1124.855884558064,4103.959962814241,58.39106393870302,0.08474383333957819,0.8094966722035943,350.7926806619773,520.8822857501773,686.0986112921637,843.8862543243652,350.7926806619773,489.10985951718203,850.0,0.9873362305550801,0.5183514858571394,382.36626801306807,350.7926806619773,0.9593411281629698,97.76224858121421,4.009253857483821,0.0031367405042686865,789.8139548002856
7,2000.0,233.31604393682454,1114.0020508557438,0.9832769053429292,1114.0020508557438,4064.3604909451265,58.3816740896199,0.0847111522884134,0.8104018560723549,346.88598504494655,517.7230636027291,679.516832613641,844.0760631029351,346.88598504494655,480.0413866536277,850.0,0.9873904189493038,0.5186517278545134,378.5421607902421,346.88598504494655,0.9497466015421313,97.36314670782347,4.004465074136133,0.0031661947920865008,788.8646838528084
8,2000.0,231.05166096510843,1103.190418565692,0.9834344414795754,1103.190418565692,4024.914988049904,58.37232194269572,0.08467948169671181,0.8113039905416503,343.00911529751704,514.5967715069833,673.0182075992468,844.2564892707812,343.00911529751704,471.4356781282146,850.0,0.987444197096595,0.5189504695739965,374.7392762011364,343.00911529751704,0.9402053216302184,96.96177466279775,3.999693831369783,0.0031954509006031214,787.9212465069361
9,2000.0,228.79611294015058,1092.4209700390957,0.9835913926090172,1092.4209700390957,3985.6233897380866,58.3630075038689,0.08464874907979184,0.8122030790854969,339.16149610132794,511.50305808192394,666.6018956317536,844.428239004144,339.16149610132794,463.25778408597523,850.0,0.9874975684771461,0.5192477545907049,370.95720718976935,339.16149610132794,0.9307162671406338,96.55803646778746,3.994939545987027,0.0032245117229272122,786.9834871409494
10,2000.0,226.54939612354383,1081.6936874263763,0.9837477580391221,1081.6936874263763,3946.4856308867024,58.353730779529776,0.08461888924333502,0.813099124791177,335.3425967392344,508.4415765875973,660.2670646203051,844.5919479429208,335.3425967392344,455.47624350245127,850.0,0.9875505357868021,0.5195436275799978,367.19559151510344,335.3425967392344,0.9212785292256195,96.15183187765516,3.9902016226865684,0.003253380145192273,786.0512474366155
11,2000.0,224.3115067346735,1071.0085526764278,0.9839035370715182,1071.0085526764278,3907.5016456375233,58.344491776543165,0.08458984337548296,0.8139921303583034,331.55192572273256,505.41198485464713,654.0128908597133,844.7481899225352,331.55192572273256,448.0626522768877,850.0,0.9876031010215639,0.5198381343962852,363.4541061779056,331.55192572273256,0.9118912974934785,95.74305604660663,3.98547945244265,0.003282059051796706,785.1243661397575
12,2000.0,222.08244095031947,1060.365547534719,0.98405872900121,1060.365547534719,3868.671367390138,58.33529050227076,0.0845615582732124,0.8148820980974482,327.789026206507,502.4139452133082,647.8385588944333,844.8974844214449,327.789026206507,440.99129485422816,850.0,0.9876552655488374,0.5201313221586784,359.73246267892813,327.789026206507,0.9025538481115487,95.3315991723851,3.980772410855845,0.003310551330319937,784.2026788009647
13,2000.0,219.86219490435508,1049.764653541855,0.9842133331161668,1049.764653541855,3829.9947287967016,58.326126964595154,0.08453398568010206,0.8157690299282355,324.0534720571287,499.4471244226012,641.7432613876133,845.0403029421708,324.0534720571287,434.23882859872344,850.0,0.9877070301676167,0.5204232393439416,356.03040296859194,324.0534720571287,0.8932655336441249,94.91734611530579,3.9760798564571043,0.0033388598761854796,783.2860174951658
14,2000.0,217.65076468750397,1039.2058520324158,0.9843673486968874,1039.2058520324158,3791.4716617577046,58.31700117194515,0.08450708171699772,0.8166529273769483,320.34486446784484,496.5111935998923,635.7261989946285,845.1770745020416,320.34486446784484,427.78401220402856,850.0,0.987758395159374,0.5207139358873577,352.3476959747422,320.34486446784484,0.8840257743407421,94.50017598867689,3.97140112894648,0.0033669875971318068,782.3742105182955
15,2000.0,215.44814634686185,1028.6891241326741,0.9845207750159615,1028.6891241326741,3753.1020974136386,58.307913133321385,0.08448080639054498,0.8175337915737743,316.66282903112386,493.6058281506061,629.7865802399174,845.3081903770044,316.66282903112386,421.60747104922666,850.0,0.9878093603310967,0.5210034632921946,348.6841346158186,316.66282903112386,0.8748340506423435,94.07996171685717,3.9667355473488244,0.0033949374175439033,781.4670820590961
16,2000.0,213.25433588572264,1018.2144507597636,0.9846736113375865,1018.2144507597636,3714.885966141969,58.298862858324355,0.08445512316731062,0.8184116232495021,313.00701319797565,490.730707698945,623.9236213982725,845.4340082157511,313.00701319797565,415.6914937011237,850.0,0.9878599250516215,0.5212918747486533,345.0395332253396,313.00701319797565,0.8656898967194168,93.65656955683667,3.962082408067496,0.0034227122826919823,780.5644518434835
17,2000.0,211.06932926313462,1007.7818126195614,0.9848258569170801,1007.7818126195614,3676.823197549404,58.28985035718281,0.08442999860338936,0.8192864227318919,309.3770840639493,487.8855160189616,618.1365463787406,845.5548556206766,309.3770840639493,410.01985478897416,850.0,0.9879100882822344,0.5215792252632728,341.4137253249877,309.3770840639493,0.85659289488476,93.22985857878643,3.957440982816705,0.0034503151629188887,779.6661347486631
18,2000.0,208.8931223935357,997.391190204945,0.9849775110003639,997.391190204945,3638.913720465538,58.280875640783755,0.08440540202115804,0.8201581899415934,305.77272643349096,485.06994096653256,612.4245866118621,845.6710332754312,305.77272643349096,404.5776603062527,850.0,0.9879598486023032,0.5218655717999233,337.8065616961947,305.77272643349096,0.8475426707551659,92.79968010050156,3.952810516411915,0.003477749057813671,778.7719403836804
19,2000.0,206.72571114638353,987.042563794028,0.9851285728234206,987.042563794028,3601.157462936413,58.27193872070397,0.08438130522625086,0.8210269243876376,302.19364112188805,482.28367441219024,606.7869809398172,845.7828176853636,302.19364112188805,399.35121206016686,850.0,0.988009204230581,0.522150973433715,334.2179087081513,302.19364112188805,0.8385388890564694,92.36587707004466,3.9481902243957303,0.003505017000405733,777.8816726325691
20,2000.0,204.56709134576755,976.7359134483057,0.9852790416117246,976.7359134483057,3563.5543522177563,58.26303960924304,0.08435768225897977,0.8218926251625045,298.6395434608547,479.52641217484154,601.2229755092698,845.8904635861959,298.6395434608547,394.32788853166244,850.0,0.9880581530427055,0.5224354915193042,330.6476468674621,298.6395434608547,0.8295812499846908,91.92828339017174,3.9435792904748532,0.0035321220614115386,776.9951291557534
21,2000.0,202.417258770019,966.4712190107948,0.9854289165796465,966.4712190107948,3526.104314768188,58.25417831945789,0.0843345091753612,0.8227552909367539,295.11016197934634,476.7978539564371,595.7318236668056,845.994206067324,295.11016197934634,389.49603985105574,850.0,0.988106692585316,0.5227191898753069,327.09566956061667,295.11016197934634,0.8206694860509488,91.48672317727238,3.9389768637411424,0.0035590673535639892,776.1121008447483
22,2000.0,200.27620915125735,956.2484601038667,0.9855781969298286,956.2484601038667,3488.807276241321,58.245354865199076,0.08431176385367799,0.8236149199532301,291.6052372355572,474.09770327753955,590.3127858566764,846.0942624488074,291.6052372355572,384.8448949571317,850.0,0.9881548200871388,0.5230021349867805,323.5618819652189,291.6052372355572,0.8118033593497795,91.04100994655903,3.9343820556463593,0.0035858560360531983,775.2323712244212
23,2000.0,198.14393817497978,946.067616127288,0.9857268818525275,946.067616127288,3451.663161478608,58.236569261148766,0.08428942582314013,0.8244715100207868,288.12452078003696,471.4256674139486,584.9651295210103,846.1908339450575,288.12452078003696,380.36447930690184,850.0,0.9882025324673123,0.523284396228031,320.04620011028646,288.12452078003696,0.8029826592014659,90.59094571407128,3.9297939366964916,0.003612491319106288,774.3557157962657
24,2000.0,196.02044147959094,935.9286662559749,0.9858749705249258,935.9286662559749,3414.671894501152,58.227821522860694,0.08426747611172859,0.8253250585075551,284.66777423258685,468.78145733426436,579.6881290021207,846.2841071432384,284.66777423258685,376.0455417503799,850.0,0.9882498263411769,0.5235660461082948,316.54855006895434,284.66777423258685,0.7942072001265662,90.13632000468616,3.925211532827408,0.0036389764687331234,773.4819013152456
25,2000.0,193.90571465594036,925.8315894377846,0.986022462110408,925.8315894377846,3377.833398501646,58.219111666802036,0.08424589711074351,0.8261755623337113,281.2347684584211,466.16478763848556,574.4810654469974,846.3742553202272,281.2347684584211,371.8794893908481,850.0,0.9882966980236954,0.5238471605432911,313.06886727020515,281.2347684584211,0.7854768201190722,89.67690875370911,3.9206338214175105,0.0036653148116642144,772.6106849914968
26,2000.0,191.79975324681058,915.7763643910712,0.9861693557578018,915.7763643910712,3341.147595835457,58.21043971039735,0.08422467245393865,0.827023017963745,277.825282831011,463.5753764975736,569.3432267137548,846.4614396185108,277.825282831011,367.8583294226525,850.0,0.9883431435306278,0.5241278191560601,309.6070959185097,277.825282831011,0.7767913791903126,89.21247308771115,3.916059726887161,0.0036915097405065705,771.741813606942
27,2000.0,189.70255274650316,905.7629696027096,0.9863156506005725,905.7629696027096,3304.6144080134154,58.20180567207518,0.08420378690943084,0.8278674213981436,274.43910457113776,461.012945594166,564.2739072803244,846.5458100984807,274.43910457113776,363.97461708282356,850.0,0.9883891585775387,0.5244081056110569,306.16318851285325,274.43910457113776,0.768150758162209,88.74275796801935,3.91148811582688,0.0037175647191426994,770.8750225352699
28,2000.0,187.6141086001704,895.7913833249037,0.9864613457559916,895.7913833249037,3268.23375569017,58.193209571316096,0.08418322628282184,0.8287087681646131,271.0760281523756,458.47722006400215,559.2724081544615,846.6275066821574,271.0760281523756,360.2214089731078,850.0,0.9884347385766877,0.5246881079861138,302.7371054577065,271.0760281523756,0.7595548576912181,88.26749067758642,3.9069177915870337,0.003743483288397348,770.0100346518544
29,2000.0,185.53441620335596,885.8615835729944,0.9866064403242479,885.8615835729944,3232.0055586561925,58.1846514287041,0.08416297733019476,0.8295470533086154,267.7358547658101,455.9679284386292,554.3380367861446,846.7066600012798,267.7358547658101,356.5922211124206,850.0,0.9884798786317962,0.5249679191876452,299.3288147617859,267.7358547658101,0.7510035975125352,87.78637912877171,3.902347488251113,0.0037692690719955653,769.146559117977
30,2000.0,183.46347090143655,875.973548122792,0.9867509333875157,875.973548122792,3195.9297358280423,58.17613126598054,0.08414302767982085,0.8303822713833203,264.4183918366225,453.48480258899855,549.4701069815442,846.7833921609753,264.4183918366225,353.0809911650466,850.0,0.9885245735306636,0.5252476374153879,295.93829182075837,264.4183918366225,0.7424969158949071,87.29910996574655,3.8977758639013893,0.003794925782834347,768.2842900210595
31,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9891669337677437,0.5249865266796654,249.72415285790902,223.50534275114785,0.626547555507853,86.81736014197045,3.893312100492722,0.0038198415765809883,769.0891704896081
32,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9891517045105258,0.5255467421796567,250.28966708221654,223.50534275114785,0.6279664072720489,85.94231382033496,3.8853451882098553,0.0038639657769344365,767.3632748149164
33,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9891367128769812,0.526096549528802,250.84599430996062,223.50534275114785,0.6293622092424088,85.06528590766732,3.8775402278746394,0.003906743727999645,765.6730181205368
34,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9891219603831731,0.5266359795410303,251.39309610073795,223.50534275114785,0.6307348649735528,84.18630859567769,3.869895660781658,0.003948187494375685,764.0180941317103
35,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9891074481998475,0.5271650742365298,251.93094661636962,223.50534275114785,0.6320843096385605,83.3054142107734,3.8624097994747646,0.0039883096341998174,762.3981681279209
36,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890931771410418,0.5276838870792457,252.4595329995729,223.50534275114785,0.633410510979042,82.4226351699001,3.8550808254586526,0.004027123196368234,760.8128764453819
37,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890791476530317,0.5281924832062019,252.97885574077347,223.50534275114785,0.6347134702254549,81.53800393505598,3.847906786954497,0.0040646417172273235,759.2618259926413
38,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890653598036346,0.5286909396484708,253.4889290324929,223.50534275114785,0.6359932229862482,80.6515529665208,3.840885596699858,0.00410087921674257,757.7445937794379
39,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890518132718863,0.5291793455436893,253.9897811108483,223.50534275114785,0.6372498401046698,79.76331467484296,3.8340150297924445,0.004135850194154142,756.2607264588025
40,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890385073381048,0.5296578023400902,254.48145458381825,223.50534275114785,0.6384834284823734,78.87332137163006,3.827292721576651,0.004169569623130131,754.8097398822418
41,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890254408743495,0.5301264239920505,254.96400674599454,223.50534275114785,0.6396941318691164,77.98160521918913,3.8207161655719406,0.004202052946430338,753.3911186678489
42,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890126123352847,0.5305853371472711,255.43750987970213,223.50534275114785,0.6408821316182579,77.08819817906405,3.8142827114409044,0.004233316070095397,752.0043157809147
43,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.9890000197494472,0.5310346813257377,255.90205154244788,223.50534275114785,0.6420476474079562,76.1931319595176,3.807989562994967,0.004263375357177947,750.6487521266208
44,2000.0,157.46789433576524,751.8538128542792,0.9885648747397079,751.8538128542792,2743.0873485232846,58.069382490143525,0.08391509825075665,0.8409035886293366,223.50534275114785,423.61561524079997,492.2067844407102,847.5254140459587,223.50534275114785,324.830436688893,850.0,0.988987660710921,0.5314746090907039,256.3577348408077,223.50534275114785,0.6431909379283391,75.29643796200664,3.8018337762348184,0.004292247621034374,749.3238161541885
